DateTime,SpConductivity
2017-09-01 00:02:16,478.43
2017-09-01 00:17:26,478.37
2017-09-01 00:32:36,478.33
2017-09-01 00:46:41,478.19
2017-09-01 01:02:16,477.56
2017-09-01 01:17:26,477.59
2017-09-01 01:32:36,477.4
2017-09-01 01:46:41,477.29
2017-09-01 02:02:16,477.82
2017-09-01 02:17:26,478.38
2017-09-01 02:32:36,478.6
2017-09-01 02:46:41,478.4
2017-09-01 03:02:16,477.97
2017-09-01 03:17:26,477.97
2017-09-01 03:32:36,478.05
2017-09-01 03:46:41,477.89
2017-09-01 04:02:16,477.83
2017-09-01 04:17:26,477.86
2017-09-01 04:32:36,477.78
2017-09-01 04:46:41,477.92
2017-09-01 05:02:16,477.86
2017-09-01 05:17:26,477.72
2017-09-01 05:32:36,477.91
2017-09-01 05:46:41,478.08
2017-09-01 06:02:16,478.57
2017-09-01 06:17:26,478.56
2017-09-01 06:32:36,478.37
2017-09-01 06:46:41,478.21
2017-09-01 07:02:16,477.99
2017-09-01 07:17:26,477.59
2017-09-01 07:32:36,477.7
2017-09-01 07:46:41,477.47
2017-09-01 08:02:16,477.41
2017-09-01 08:17:26,477.66
2017-09-01 08:32:36,477.72
2017-09-01 08:46:41,477.67
2017-09-01 09:02:16,477.75
2017-09-01 09:17:26,477.98
2017-09-01 09:32:36,477.81
2017-09-01 09:46:41,478.09
2017-09-01 10:02:16,478.07
2017-09-01 10:17:26,477.95
2017-09-01 10:32:36,477.94
2017-09-01 10:46:41,477.97
2017-09-01 11:02:16,477.51
2017-09-01 11:17:26,477.2
2017-09-01 11:32:36,477.25
2017-09-01 11:46:41,477.33
2017-09-01 12:02:16,477.22
2017-09-01 12:17:26,477.32
2017-09-01 12:32:36,477.32
2017-09-01 12:46:41,477.24
2017-09-01 13:02:16,477.57
2017-09-01 13:17:26,477.82
2017-09-01 13:32:36,478.0
2017-09-01 13:46:41,478.17
2017-09-01 14:02:16,478.56
2017-09-01 14:17:26,478.81
2017-09-01 14:32:36,478.97
2017-09-01 14:46:41,479.1
2017-09-01 15:02:16,479.4
2017-09-01 15:17:26,479.38
2017-09-01 15:32:36,479.69
2017-09-01 15:46:41,479.81
2017-09-01 16:02:16,479.91
2017-09-01 16:17:26,480.04
2017-09-01 16:32:36,480.0
2017-09-01 16:46:41,480.43
2017-09-01 17:02:16,480.7
2017-09-01 17:17:26,481.13
2017-09-01 17:32:36,481.63
2017-09-01 17:46:41,481.92
2017-09-01 18:02:16,482.16
2017-09-01 18:17:26,482.26
2017-09-01 18:32:36,482.07
2017-09-01 18:46:41,482.61
